EMG,,EEG,,,finalState
X,Y,Theta,Alpha,class,sate
39.15,4,3178.168,1299.363,1,1
39.15,4,4875.512,2016.853,1,1
39.15,4,3001.173,1516.451,1,1
39.15,4,2449.318,1165.406,1,1
38.86,4,2796.913,1216.043,1,1
39,4,3689.244,1657.959,1,1
38.86,4,2942.668,1813.407,1,1
38.86,4,9577.261,3326.62,1,1
38.86,4,3912.74,2277.032,1,1
39.15,4,3253.981,2202.661,1,1
38.86,4,2955.067,1496.611,1,1
38.86,4,2795.988,2161.621,1,1
39.15,4,2912.259,2113.021,1,1
38.86,4,2806.663,1685.138,1,1
38.86,4,3827.987,2520.253,1,1
39,4,3018.558,2511.819,1,1
38.71,4,2922.514,2153.909,1,1
38.86,4,2911.066,2025.385,1,1
39,4,3629.164,1152.499,1,1
39,4,2102.878,990.55,1,1
38.71,4,3826.787,1350.605,1,1
38.71,4,2300.468,804.786,1,1
38.71,4,3527.182,1052.369,1,1
38.71,4,5928.265,2530.856,1,1
39,4,2377.347,1355.932,0,0
38.71,4,2430.264,1104.335,0,0
38.71,4,2370.939,1193.342,0,0
38.71,4,2731.027,1278.209,0,0
38.86,4,3109.799,1173.169,0,0
38.71,4,2295.862,985.817,0,0
38.71,4,2973.225,1762.616,0,0
38.71,4,2375.122,1462.727,0,0
38.86,4,2993.564,1944.052,0,0
38.86,4,2748.859,1606.819,0,0
38.86,4,2784.691,1533.009,0,0
38.56,4,3205.459,1609.894,0,0
38.86,4,3731.551,1966.29,0,0
38.56,4,4555.554,2078.303,0,0
38.42,4,2764.356,1320.252,0,0
38.86,4,2715.534,1536.543,0,0
38.56,4,2687.694,1498.426,0,0
38.42,4,2735.907,1624.85,0,0
38.56,4,3667.094,2517.676,0,0
38.56,4,4024.085,2391.942,0,0
38.42,4,3018.514,2091.02,0,0
38.42,4,3374.678,2298.648,0,0
38.71,4,4273.72,2223.95,0,0
38.71,4,3241.702,1777.342,0,0
38.71,4,,,,
38.42,4,,,,
38.71,4,,,,
38.56,4,,,,
38.42,4,,,,
38.56,4,,,,
38.42,4,,,,
38.42,4,,,,
38.42,4,,,,
38.42,4,,,,
38.42,4,,,,
38.42,4,,,,
38.56,4,,,,
38.42,4,,,,
38.27,4,,,,
38.42,4,,,,
38.27,4,,,,
38.56,4,,,,
38.56,4,,,,
38.27,4,,,,
38.27,4,,,,
38.27,4,,,,
38.42,4,,,,
38.27,4,,,,
38.27,4,,,,
38.42,4,,,,
38.27,4,,,,
38.42,4,,,,
38.42,4,,,,
38.27,4,,,,
38.27,4,,,,
38.42,4,,,,
38.12,4,,,,
38.42,4,,,,
38.42,4,,,,
38.12,4,,,,
38.42,4,,,,
38.12,4,,,,
38.42,4,,,,
38.12,4,,,,
38.27,4,,,,
38.12,4,,,,
38.12,4,,,,
38.12,4,,,,
38.27,4,,,,
38.27,4,,,,
38.27,4,,,,
38.42,4,,,,
38.42,4,,,,
38.12,4,,,,
40.91,3,,,,
42.67,3,,,,
42.23,3,,,,
41.35,3,,,,
40.91,3,,,,
40.62,3,,,,
40.18,3,,,,
41.06,3,,,,
44.72,3,,,,
49.27,3,,,,
51.47,2,,,,
52.93,2,,,,
54.11,2,,,,
55.72,2,,,,
57.92,2,,,,
59.24,2,,,,
60.56,1,,,,
61.44,1,,,,
61.73,1,,,,
62.46,1,,,,
62.61,1,,,,
62.76,1,,,,
62.61,1,,,,
62.61,1,,,,
62.76,1,,,,
62.76,1,,,,
63.34,1,,,,
63.49,1,,,,
63.64,1,,,,
63.64,1,,,,
63.78,1,,,,
64.22,1,,,,
64.22,1,,,,
64.37,1,,,,
64.52,1,,,,
64.37,1,,,,
64.66,1,,,,
64.52,1,,,,
64.81,1,,,,
64.66,1,,,,
64.96,1,,,,
64.66,1,,,,
64.96,1,,,,
64.96,1,,,,
65.1,1,,,,
64.96,1,,,,
64.96,1,,,,
65.1,1,,,,
65.1,1,,,,
65.25,1,,,,
65.25,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.25,1,,,,
65.4,1,,,,
65.25,1,,,,
65.54,1,,,,
65.25,1,,,,
65.54,1,,,,
65.25,1,,,,
65.54,1,,,,
65.25,1,,,,
65.25,1,,,,
65.25,1,,,,
65.4,1,,,,
65.25,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.4,1,,,,
65.69,1,,,,
65.69,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.84,1,,,,
65.69,1,,,,
65.84,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.84,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.84,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.4,1,,,,
65.54,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.4,1,,,,
65.54,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.84,1,,,,
65.69,1,,,,
65.84,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.69,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.54,1,,,,
65.69,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.4,1,,,,
65.69,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.54,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.69,1,,,,
65.69,1,,,,
65.4,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.54,1,,,,
65.4,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.54,1,,,,
65.69,1,,,,
65.4,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.84,1,,,,
65.69,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.4,1,,,,
65.54,1,,,,
65.69,1,,,,
65.4,1,,,,
65.54,1,,,,
65.69,1,,,,
65.69,1,,,,
65.4,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.54,1,,,,
65.4,1,,,,
65.69,1,,,,
65.4,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.69,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.54,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.54,1,,,,
65.25,1,,,,
65.54,1,,,,
65.25,1,,,,
65.25,1,,,,
65.4,1,,,,
65.54,1,,,,
65.54,1,,,,
65.25,1,,,,
65.4,1,,,,
65.25,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.4,1,,,,
65.1,1,,,,
65.1,1,,,,
65.1,1,,,,
65.4,1,,,,
65.4,1,,,,
65.1,1,,,,
65.1,1,,,,
65.1,1,,,,
65.4,1,,,,
65.4,1,,,,
65.1,1,,,,
65.4,1,,,,
65.1,1,,,,
65.1,1,,,,
64.96,1,,,,
65.1,1,,,,
65.25,1,,,,
65.1,1,,,,
65.25,1,,,,
65.25,1,,,,
65.1,1,,,,
65.1,1,,,,
65.25,1,,,,
65.25,1,,,,
64.96,1,,,,
64.96,1,,,,
64.96,1,,,,
64.96,1,,,,
65.25,1,,,,
64.96,1,,,,
64.81,1,,,,
64.81,1,,,,
64.81,1,,,,
64.81,1,,,,
64.66,1,,,,
64.52,1,,,,
64.66,1,,,,
64.52,1,,,,
64.52,1,,,,
64.66,1,,,,
64.52,1,,,,
64.66,1,,,,
64.66,1,,,,
64.37,1,,,,
64.52,1,,,,
64.52,1,,,,
64.37,1,,,,
64.22,1,,,,
64.37,1,,,,
63.93,1,,,,
63.93,1,,,,
63.93,1,,,,
63.34,1,,,,
62.76,1,,,,
62.46,1,,,,
61.88,1,,,,
61.14,1,,,,
60.85,1,,,,
59.97,2,,,,
59.68,2,,,,
59.53,2,,,,
59.24,2,,,,
59.24,2,,,,
58.65,2,,,,
57.92,2,,,,
57.62,2,,,,
57.04,2,,,,
56.45,2,,,,
55.87,2,,,,
55.28,2,,,,
55.13,2,,,,
54.69,2,,,,
53.37,2,,,,
52.64,2,,,,
52.2,2,,,,
51.76,2,,,,
51.17,2,,,,
50.73,2,,,,
50.59,2,,,,
50.15,2,,,,
50.15,2,,,,
49.27,3,,,,
48.97,3,,,,
48.24,3,,,,
48.09,3,,,,
47.36,3,,,,
46.92,3,,,,
46.77,3,,,,
46.19,3,,,,
46.19,3,,,,
45.75,3,,,,
45.45,3,,,,
45.31,3,,,,
45.16,3,,,,
45.16,3,,,,
45.01,3,,,,
44.72,3,,,,
44.43,3,,,,
44.43,3,,,,
44.43,3,,,,
44.28,3,,,,
43.99,3,,,,
44.13,3,,,,
43.99,3,,,,
43.84,3,,,,
43.55,3,,,,
43.55,3,,,,
43.55,3,,,,
43.55,3,,,,
43.4,3,,,,
43.11,3,,,,
43.26,3,,,,
42.96,3,,,,
43.11,3,,,,
43.11,3,,,,
42.82,3,,,,
42.67,3,,,,
42.52,3,,,,
42.82,3,,,,
42.82,3,,,,
42.67,3,,,,
42.38,3,,,,
42.67,3,,,,
42.23,3,,,,
42.08,3,,,,
42.08,3,,,,
42.23,3,,,,
42.08,3,,,,
42.08,3,,,,
41.94,3,,,,
42.08,3,,,,
42.08,3,,,,
41.94,3,,,,
41.79,3,,,,
41.94,3,,,,
41.94,3,,,,
41.64,3,,,,
41.5,3,,,,
41.5,3,,,,
41.64,3,,,,
41.64,3,,,,
41.35,3,,,,
41.5,3,,,,
41.2,3,,,,
41.5,3,,,,
41.2,3,,,,
41.35,3,,,,
41.35,3,,,,
41.35,3,,,,
41.06,3,,,,
41.06,3,,,,
40.91,3,,,,
41.2,3,,,,
40.91,3,,,,
41.2,3,,,,
41.2,3,,,,
40.91,3,,,,
41.06,3,,,,
40.76,3,,,,
41.06,3,,,,
40.91,3,,,,
41.06,3,,,,
40.91,3,,,,
40.91,3,,,,
40.62,3,,,,
40.76,3,,,,
40.62,3,,,,
40.62,3,,,,
40.47,3,,,,
40.76,3,,,,
40.62,3,,,,
40.62,3,,,,
40.62,3,,,,
40.62,3,,,,
40.47,3,,,,
40.62,3,,,,
40.47,3,,,,
40.47,3,,,,
40.47,3,,,,
40.18,3,,,,
40.18,3,,,,
40.47,3,,,,
40.32,3,,,,
40.18,3,,,,
40.32,3,,,,
40.32,3,,,,
40.03,3,,,,
40.03,3,,,,
40.03,3,,,,
40.18,3,,,,
40.18,3,,,,
39.88,4,,,,
39.88,4,,,,
39.88,4,,,,
39.88,4,,,,
40.03,3,,,,
39.88,4,,,,
39.88,4,,,,
39.74,4,,,,
40.03,3,,,,
40.03,3,,,,
39.74,4,,,,
39.74,4,,,,
39.74,4,,,,
39.74,4,,,,
39.88,4,,,,
39.59,4,,,,
39.59,4,,,,
39.59,4,,,,
39.88,4,,,,
39.59,4,,,,
39.44,4,,,,
39.74,4,,,,
39.74,4,,,,
39.44,4,,,,
39.74,4,,,,
39.44,4,,,,
39.44,4,,,,
39.74,4,,,,
39.59,4,,,,
39.59,4,,,,
39.59,4,,,,
39.59,4,,,,
39.3,4,,,,
39.3,4,,,,
39.59,4,,,,
39.59,4,,,,
39.59,4,,,,
39.3,4,,,,
39.3,4,,,,
39.59,4,,,,
39.44,4,,,,
39.3,4,,,,
39.3,4,,,,
39.15,4,,,,
39.15,4,,,,
39.44,4,,,,
39.15,4,,,,
39.3,4,,,,
39.15,4,,,,
39.15,4,,,,
39.15,4,,,,
39.3,4,,,,
39.3,4,,,,
39,4,,,,
39.3,4,,,,
39,4,,,,
39,4,,,,
39,4,,,,
39.3,4,,,,
39.15,4,,,,
39.15,4,,,,
38.86,4,,,,
39.3,4,,,,
39.15,4,,,,
39.15,4,,,,
39.15,4,,,,
38.86,4,,,,
39.15,4,,,,
39.15,4,,,,
39.15,4,,,,
39,4,,,,
38.86,4,,,,
39,4,,,,
38.86,4,,,,
38.86,4,,,,
39,4,,,,
38.86,4,,,,
38.86,4,,,,
38.86,4,,,,
38.86,4,,,,
38.71,4,,,,
38.71,4,,,,
38.71,4,,,,
38.71,4,,,,
38.86,4,,,,
39,4,,,,
38.71,4,,,,
38.71,4,,,,
38.71,4,,,,
38.71,4,,,,
39,4,,,,
39,4,,,,
38.71,4,,,,
38.71,4,,,,
38.86,4,,,,
38.86,4,,,,
39,4,,,,
38.71,4,,,,
38.86,4,,,,
38.71,4,,,,
38.71,4,,,,
38.86,4,,,,
38.56,4,,,,
38.86,4,,,,
38.56,4,,,,
38.86,4,,,,
38.86,4,,,,
38.56,4,,,,
38.86,4,,,,
38.71,4,,,,
38.56,4,,,,
38.56,4,,,,
38.71,4,,,,
38.42,4,,,,
38.71,4,,,,
38.86,4,,,,
38.42,4,,,,
38.42,4,,,,
38.56,4,,,,
38.42,4,,,,
38.42,4,,,,
38.71,4,,,,
38.71,4,,,,
38.56,4,,,,
38.42,4,,,,
38.56,4,,,,
38.42,4,,,,
38.71,4,,,,
38.71,4,,,,
38.42,4,,,,
38.56,4,,,,
38.71,4,,,,
38.71,4,,,,
38.27,4,,,,
38.56,4,,,,
38.27,4,,,,
38.56,4,,,,
38.56,4,,,,
38.27,4,,,,
38.56,4,,,,
38.27,4,,,,
38.42,4,,,,
38.56,4,,,,
38.56,4,,,,
38.56,4,,,,
38.27,4,,,,
38.42,4,,,,
38.27,4,,,,
38.27,4,,,,
38.12,4,,,,
38.27,4,,,,
38.27,4,,,,
38.12,4,,,,
