Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
15141.661,1955.516,664.442,1762.177,317.391,783.1,41.57,1
13201.037,1501.509,1045.69,2533.895,517.546,805.2,41.5,1
13415.929,1949.391,894.483,1968.806,438.101,819.3,41.535,1
11054.033,1617.61,975.22,2292.727,412.3,825.1,41.498,1
17413.308,1781.944,890.909,2101.559,430.099,821.3,41.5,1
17538.002,2479.274,1203.768,2632.673,576.135,755.2,41.605,1
19648.338,2126.236,1222.272,2151.188,461.152,775.1,41.57,1
18844.071,1981.906,1263.012,2145.622,390.283,757.3,41.605,1
11983.613,2196.623,926.394,1849.591,402.083,793.2,41.06,1
14047.308,2003.206,895.808,1935.662,339.296,837.2,41.06,1
11751.435,2259.188,829.458,1907,455.242,783.1,41.06,1
14556.405,1860.512,947.622,1928.222,442.663,741.1,41.13,1
13260.006,1847.47,1248.184,2026.605,397.398,689,41.095,1
7414.281,1988.476,1078.856,2696.525,514.053,863.1,41.06,1
11337.723,2887.391,1174.072,2551.188,506.815,831.2,41.06,1
13054.669,2257.295,926.771,2043.563,385.014,821.2,53.593,1
15451.502,2418.621,1373.814,2316.136,469.855,889.1,57.918,1
15613.933,2228.014,1002.686,2536.455,483.875,813.1,57.955,1
14278.052,2638.575,1167.941,2676.481,479.861,807.1,58.028,1
13200.365,1939.65,893.364,1756.083,346.388,807.2,57.92,1
18574.66,2388.697,1389.147,2901.033,517.504,809.2,58.06,1
18674.969,2397.012,1096.193,2216.713,435.43,787.1,57.988,1
13263.272,1718.764,899.779,1552.962,291.237,787.2,57.918,1
9467.119,2008.762,821.295,1525.248,308.548,715,58.025,1
9821.687,1774.111,793.878,1522.738,281.717,791.2,58.028,1
9101.125,2035.584,851.625,1668.492,306.902,793.2,58.098,1
15112.593,2216.289,971.585,1587.603,352.601,735.4,57.99,1
15926.919,2392.496,1451.766,3745.345,647.614,771.3,57.475,1
10699.026,2231.347,976.254,2607.627,471.364,793.2,56.342,1
17015.504,2978.538,1253.596,2639.83,485.08,741.2,52.198,1
14577.976,2459.051,1082.895,2586.065,494.383,729.2,47.618,1
11117.381,2423.781,1113.768,2231.506,373.557,759.3,45.235,1
13081.863,2246.198,1141.859,2544.157,510.819,803.2,43.878,1
8326.221,2512.128,1404.879,2699.973,464.621,759.2,42.892,1
9467.662,2668.149,1098.691,3035.814,601.014,733.2,42.122,1
18959.183,2836.466,1337.353,2963.744,568.976,871.2,41.605,1
17690.911,2338.831,1411.576,2833.126,523.636,819.3,43.035,1
12242.26,2806.482,1249.513,2568.103,470.22,797.2,49.305,1
10274.202,2516.899,1095.085,2681.203,540.408,783.3,53.118,1
10825.262,2576.916,1242.446,2824.975,490.411,795,54.838,1
12627.568,2486.316,1270.018,2544.467,455.916,839.4,55.425,1
8225.018,2171.727,1246.92,2637.134,414.2,833,55.792,1
12331.743,2197.763,1060.128,2620.736,479.88,821.2,55.975,1
8786.016,2378.592,1389.98,2721.431,473.433,873.1,56.158,1
13640.253,2315.484,1350.054,2411.408,463.132,881.3,56.45,1
10571.784,2629.149,1588.617,3144.552,579.093,857.2,56.595,1
11755.3,2410.64,1121.22,2906.17,523.767,855.2,56.708,1
11307.513,1792.471,1053.795,2477.031,463.618,825.2,56.743,1
16911.725,2388.215,1304.725,2688.174,502.399,857.4,56.815,1
12843.589,2441.47,1075.372,2926.168,530.354,881.1,57.038,1
9337.328,2746.652,963.171,2437.492,481.265,867.4,57.002,1
10467.82,2161.419,929.533,2456.323,433.281,845.2,57.002,1
13500.164,2896.115,1106.436,2297.765,441.323,827.2,41.828,1
13929.49,1831.419,630.911,1285.288,238.981,851.2,49.598,1
6923.789,2105.43,704.136,803.197,186.659,879.2,56.6,1
7804.772,1885.496,598.565,941.8,208.959,823.2,57.257,1
11989.495,2259.795,737.211,1252.32,287.376,847.3,55.242,1
13354.922,2164.054,709.701,1406.547,252.863,787.2,52.492,1
9717.168,1728.785,636.509,1249.761,257.182,809.2,50.66,1
19853.638,1958.072,960.891,1684.261,349.992,763.2,49.158,1
15290.297,1819.389,866.766,1426.036,291.173,847.2,47.285,1
6825.707,1933.838,832.661,2436.381,593.36,873.2,45.895,1
9819.589,1753.57,589.028,1133.119,235.875,861.3,45.16,1
6429.18,1783.138,580.703,826.039,232.453,789,44.503,1
8178.151,1636.835,598.792,943.592,255.412,879.2,44.098,1
9670.496,1754.031,736.818,1283.531,272.099,853.2,43.622,1
7650.98,1881.909,754.107,1012.363,210.429,885.2,43.33,1
5962.239,2029.699,692.802,1202.136,250.425,791.2,43,1
6076.782,1656.442,617.687,959.146,227.565,815.1,42.707,1
7266.44,1491.991,676.289,1126.164,246.85,867.3,42.488,1
6755.479,1646.441,546.161,935.179,240.663,855.2,42.117,1
9921.464,1793.571,683.759,1196.722,240.293,821.3,42.045,1
4946.076,2042.802,618.092,952.137,251.845,845.2,41.902,1
12727.444,2354.135,964.283,1725.349,323.4,841.1,41.57,1
10298.285,1767.002,660.739,1104.694,263.041,887.1,41.422,1
13342.211,2193.645,835.786,1474.258,294.674,889.1,41.35,1
10826.065,1910.332,655.931,1009.223,255.701,903.1,41.168,1
10178.772,2124.138,521.944,889.592,205.152,885.2,41.13,1
12055.46,1923.036,676.746,1042.71,221.243,875,42.488,1
20934.767,2274.169,951.634,2165.929,487.067,789.1,45.012,1
9497.141,1693.64,636.533,1016.451,206.523,811,49.56,1
10880.151,2255.36,806.542,1097.637,215.959,681.3,52.678,1
6542.416,1710.304,591.53,978.496,208.207,879.2,54.435,1
12104.973,1922.467,805.69,1368.432,292.877,849.3,56.595,1
12341.788,2051.956,1212.714,1506.415,321.715,817.2,57.515,1
18600.815,1971.552,748.043,1227.204,295.638,811.3,58.358,1
12016.546,2157.252,810.527,1203.625,282.836,789.2,58.65,1
14224.99,2126.985,892.474,1493.152,364.236,819.2,58.137,1
10848.329,1944.229,742.65,1275.751,244.515,839.3,56.998,1
10283.615,1992.821,754.419,1153.343,237.606,803.2,56.122,1
11608.682,1586.02,656.854,1249.07,274.763,813.2,54.292,1
11729.977,1583.382,781.105,1476.491,355.645,802.9,51.317,1
14661.317,1749.83,887.899,1527.669,262.922,877,48.828,1
16628.961,1780.035,940.951,1688.448,404.156,853.3,47.065,1
12110.967,1959.123,835.46,1515.005,289.034,821.3,45.49,1
14044.659,1749.287,1164.982,2775.194,592.647,827.2,44.318,1
14150.98,1797.03,814.148,1622.079,387.231,899.2,43.66,1
13498.384,1962.834,864.85,2148.454,386.713,853.1,43.182,1
21721.303,2343.322,1343.797,2807.996,509.967,903.3,42.778,1
13775.419,1972.399,718.746,1337.388,238.198,871.2,42.305,1
9481.595,1709.303,1005.992,1888.117,400.024,847.2,42.01,1
17380.393,2252.012,1355.914,2120.874,409.775,851.3,41.718,1
10420.688,1823.297,808.713,1530.559,306.489,905.4,41.458,1
10378.276,2028.534,914.6,1428.669,290.134,877.3,41.24,1
21112.6,1933.21,1036.942,2242.859,455.773,875.3,41.095,1
18833.965,2310.319,925.887,1777.813,352.871,827.3,45.93,1
16561.858,2275.829,1090.205,2062.34,428.273,891.3,51.65,1
14860.419,2154.104,791.841,1614.365,397.659,895.3,53.555,1
12842.378,1842.678,745.937,1598.877,318.191,899.1,56.415,1
13088.986,2008.847,1434.334,2204.43,417.642,861.3,57.735,1
9513.335,2122.327,874.884,1455.31,318.671,867.3,58.282,1
11083.166,1965.07,856.815,1711.544,345.691,885.2,58.285,1
9299.804,1631.827,675.607,1593.381,322.62,899.1,58.612,1
13191.619,2091.489,1151.387,2146.334,505.035,847.778,58.72,1
11137.758,1981.643,1072.246,2029.994,433.026,768,58.87,1
10648.203,1854.782,716.674,1341.969,272.597,903.556,58.905,1
8731.191,2160.656,1266.939,3472.126,742.325,863.444,58.87,1
15910.957,1994.731,788.527,1760.716,330.51,765.667,58.94,1
10952.869,1679.465,888.232,1517.336,334.152,841.222,58.94,1
9297.647,1683.725,979.064,1948.877,403.102,825.667,58.94,1
12093.094,1852.23,806.051,1669.526,369.867,790.111,58.94,1
7191.587,2272.214,882.79,1556.813,392.882,801,62.215,2
5835.637,1587.915,665.748,1307.014,257.542,1020,62.155,2
6019.844,2774.115,843.34,1532.31,333.941,922,62.11,2
5539.57,1509.265,616.657,1318.664,250.473,941,62.2,2
6421.807,1840.989,777.407,1664.206,339.173,941,62.17,2
6332.354,1771.252,743.926,1393.379,329.588,920,62.245,2
6730.525,1939.282,1049.469,2315.782,547.819,982,62.185,2
7736.935,1961.814,1444.576,2614.693,636.774,922,62.215,2
6554.817,1773.218,733.571,1211.003,294.955,882,62.215,2
6788.451,1572.495,853.574,1382.343,289.101,1001,62.215,2
10043.317,2288.412,1249.191,2899.692,584.918,980,62.2,2
8383.176,2236.909,1010.963,1373.772,322.446,941,62.155,2
6409.905,2295.215,772.879,1129.516,273.18,922,62.17,2
7355.729,1723.383,1130.479,1863.844,348.885,942,62.17,2
10753.815,2088.728,1026.167,1381.569,317.305,881,62.23,2
7960.077,2008.851,1076.706,3660.35,875.836,861,62.215,2
7163.355,2114.318,1115.693,2758.62,665.586,881,62.215,2
7852.895,2256.471,954.6,2086.503,390.713,881,62.26,2
5466.329,1664.076,773.922,1406.543,272.583,922,62.215,2
6655.344,1680.472,818.582,1251.462,285.546,981,62.23,2
8069.996,2562.645,1723.374,4142.85,904.236,941,62.095,2
10199.153,1923.568,833.011,1844.845,369.654,1002,62.051,2
8333.006,2366.457,1183.443,2409.806,488.729,1001,62.006,2
9480.572,1909.971,1116.989,2017.411,425.207,1021,61.95,2
5989.819,1989.249,981.187,2142.574,494.146,922,61.922,2
7196.796,1734.911,959.322,1453.115,399.772,1002,61.921,2
6631.842,1278.976,685.99,1155.038,288.367,921,61.979,2
6678.285,1968.792,1026.164,1627.157,354.124,962,61.936,2
7741.693,2165.552,890.414,2580.922,564.191,901,62.007,2
6650.245,1264.171,659.606,1476.519,323.459,861,61.908,2
7962.312,2488.556,955.114,1665.791,419.924,882,61.922,2
6314.148,1613.362,1136.566,2119.4,560.102,1020,61.964,2
7064.449,1309.838,644.13,1365.667,328.381,1161,61.964,2
11628.231,1955.411,706.255,1413.484,275.791,1102,61.922,2
8430.83,2052.274,1340.503,4764.571,1148.424,1061,61.978,2
6033.026,2133.153,1711.637,4443.807,1018.316,1061,61.978,2
10180.32,2652.601,1449.859,3169.863,742.36,882,61.922,2
7703.45,2954.392,1085.99,3067.992,667.361,1001,61.979,2
8468.287,2304.01,1849.741,4794.192,1267.177,1042,62.007,2
7874.938,1611.609,805.923,1652.203,396.048,1040,61.994,2
8048.284,1399.938,731.448,1081.164,240.04,1040,62.006,2
7586.89,1953.372,703.546,1468.12,297.291,1120,62.02,2
10649.517,2301.515,982.66,1377.996,323.593,841,62.051,2
8865.14,2252.699,1060.799,2939.744,639.926,880,62.007,2
8411.6,1710.124,605.748,1185.181,264.597,861,62.08,2
6872.147,1521.972,548.069,991.744,273.317,902,62.035,2
6035.028,1877.285,1168.221,2713.531,536.254,941,62.05,2
7591.651,2680.719,1693.484,3601.325,811.199,961,62.035,2
6827.659,1859.165,973.511,2237.6,591.242,802,62.095,2
12603.46,2281.96,1425.763,3609.984,922.062,981,62.051,2
9566.388,2079.612,1089.348,1941.121,405.9,861,62.05,2
7499.961,2441.098,1254.274,3541.976,834.869,941,62.051,2
7201.487,2442.077,1750.125,4790.397,969.511,960,62.08,2
6681.122,1930.736,896.421,1580.316,358.377,961,62.125,2
7930.684,1670.937,767.768,1421.355,296.237,901,62.17,2
10369.097,2009.127,1251.803,2300.152,450.779,961,61.186,2
10682.348,2685.415,2080.238,5581.915,1384.579,942,60.26,2
6099.497,2054.518,1403.256,4006.41,831.794,1042,60.218,2
9025.859,2796.15,1444.578,3941.284,1039.013,1061,60.246,2
5337.116,1881.08,779.42,1462.408,355.677,981,60.204,2
8593.866,2335.089,1165.263,2621.031,571.148,1060,60.19,2
10133.371,1652.059,1171.388,2101.22,455.017,861,60.19,2
7005.229,1722.434,1098.773,2740.246,586.777,921,60.218,2
6822.195,1719.794,746.256,1291.182,290.165,841,60.232,2
8695.396,1941.776,887.666,1471.206,289.86,1102,60.218,2
11938.381,2844.379,1737.474,4564.488,941.4,941,60.176,2
6432.881,2055.167,1489.733,3875.223,856.295,1001,60.162,2
8176.843,2288.996,1752.925,4136.298,1054.124,902,60.19,2
7201.634,2575.471,1421.303,3266.226,844.621,1121,60.19,2
6621.638,1931.074,665.31,965.086,211.099,822,60.19,2
7005.1,2631.646,930.929,2554.484,545.422,1121,60.232,2
8485.599,1896.589,813.496,1535.643,378.834,962,60.218,2
6624.469,1388.58,769.553,1747.665,339.933,1201,60.232,2
9349.649,1501.51,659.499,976.617,198.641,841,60.26,2
9527.072,2580.076,1036.849,2581.271,581.419,961,60.261,2
8636.252,2176.913,1015.6,1982.954,395.963,1021,60.261,2
10926.251,1898.52,1088.357,1971.171,375.851,1002,60.26,2
8939.296,1830.017,544.552,1033.781,235.923,861,60.305,2
7594.898,1825.734,962.904,2778.443,646.498,962,60.32,2
7122.927,2198.605,1455.984,3599.241,880.4,761,60.365,2
7208.281,2681.397,1672.487,4839.393,880.488,841,60.38,2
5574.944,1660.535,840.774,2031.163,432.275,1001,60.41,2
6394.518,1314.646,600.995,962.425,233.346,1001,60.44,2
10451.374,2262.264,984.929,1836.377,433.706,961,60.395,2
8083.209,1820.236,590.563,795.434,167.682,981,60.425,2
6456.629,1415.212,517.758,631.712,133.516,942,60.425,2
6760.202,1450.851,949.817,2405.836,516.818,981,60.395,2
8656.893,1592.782,617.246,1377.857,327.113,781,60.425,2
6640.306,1716.026,1259.407,2533.558,580.959,1081,60.41,2
6738.32,2419.808,1043.458,2560.024,571.466,882,60.425,2
8231.241,2583.829,1960.743,5785.276,1257.471,1062,60.41,2
8342.03,1900.846,792.281,1482.475,317.703,941,60.35,2
10514.168,1872.997,1221.097,2652.769,591.418,722,60.335,2
6951.94,1514.696,569.759,1005.62,235.111,862,60.32,2
6947.768,1380.498,601.882,743.81,169.691,1001,60.365,2
5926.812,2698.741,2025.381,4937.449,1316.612,722,60.29,2
7392.724,1884.382,837.367,2251.904,466.31,861,60.275,2
8795.074,2118.293,948.066,1898.8,405.225,881,60.26,2
7261.982,2615,1403.151,2742.699,496.975,821,60.29,2
7873.239,2779.381,1975.57,3737.097,712.827,881,60.275,2
7947.473,1965.582,1072.054,2844.813,618.279,882,60.276,2
6092.561,1336.042,645.257,1162.484,268.296,1002,60.276,2
9607.62,2152.719,1186.678,3236.989,711.85,882,60.233,2
7062.134,2336.944,1612.238,4620.555,1107.291,821,60.232,2
7354.634,2122.309,1347.143,2523.745,522.107,982,60.26,2
8903.911,1695.321,1361.586,3827.32,849.624,901,60.29,2
8350.092,2998.754,1911.88,4539.353,1001.038,841,60.29,2
5798.196,1986.848,1185.093,3092.502,622.341,901,60.276,2
8154.54,1786.575,1077.807,2362.742,525.345,801,60.29,2
7653.91,1980.806,1050.192,2385.352,515.532,742,60.335,2
7295.87,2428.734,928.736,3083.345,577.017,760,60.335,2
7191.859,1835.561,742.867,1608.213,397.929,882,61.38,2
11472.77,2334.553,1349.125,3613.034,783.026,1041,61.32,2
9623.711,2383.062,1773.722,5127.34,1164.683,921,61.409,2
7182.376,1783.394,857.922,1580.151,383.948,862,61.394,2
10906.655,1847.893,1247.108,3611.107,769.282,981,61.425,2
12857.833,2233.514,1103.23,2779.319,626.094,901,61.409,2
7502.746,2301.023,995.615,2470.218,544.902,840,61.425,2
8359.005,1749.602,748.658,1313.098,326.842,801,61.454,2
11250.446,2868.193,1929.465,5241.462,1406.06,981,61.425,2
6764.854,1979.42,1525.794,5098.306,1180.94,882,61.439,2
7606.066,2392.449,1415.605,4186.354,894.496,941,61.439,2
9141.654,2487.753,1278.466,2477.658,506.541,1021,61.553,2
8222.838,1965.844,923.119,1947.835,398.959,961,61.64,2
5563.522,1577.574,576.038,955.647,215.67,842,61.715,2
9953.878,2521.469,1207.71,3789.423,874.3,922,61.745,2
11591.148,1948.911,1261.199,3119.611,774.92,941,61.85,2
9466.269,1869.219,1049.715,2204.263,514.428,941,61.834,2
7629.316,2003.025,965.982,2349.573,511.65,1002,61.85,2
6621.009,2404.772,1536.734,4776.338,1219.993,982,61.908,2
11756.94,2878.486,1788.767,3830.676,910.189,942,61.964,2
8871.055,1658.363,921.107,2150.794,395.978,941,62.021,2
9381.426,2035.245,873.077,1515.37,328.477,921,61.978,2
7775.22,1625.334,688.265,789.289,173.801,942,62.08,2
8354.363,1778.72,1242.014,2579.969,503.02,920,62.187,2
8214.03,1817.237,1046.565,1749.687,394.691,781,62.203,2
12385.043,1978.061,1042.895,1629.978,348.74,921,62.071,2
11937.336,1700.544,1267.633,1734.478,332.751,941,62.203,2
8831.109,1812.1,1089.885,1692.554,372.581,762,62.253,2
9690.238,1680.026,970.523,1481.394,317.187,722,62.32,2
7846.755,2402.615,1440.813,3243.659,704.347,762,62.269,2
6946.749,2268.087,810.332,1481.153,329.483,842,62.203,2
8782.026,2804.33,1820.477,5975.679,1393.606,981,62.153,2
7705.655,2589.493,1836.915,5273.136,1136.483,960,62.153,2
7155.207,2079.599,945.904,2780.164,562.099,961,62.12,2
9044.341,2260.518,890.429,2047.59,430.66,901,62.087,2
8213.53,1553.398,651.381,1319.524,302.842,882,62.103,2
6844.879,1323.05,483.414,821.006,199.989,1022,62.187,2
10154.276,2221.858,987.827,1751.673,331.967,981,62.103,2
9512.821,1967.252,1552.563,3997.595,1132.81,962,62.187,2
8082.795,1964.439,1703.744,5575.718,1231.918,921,62.137,2
8703.515,1818.269,1250.481,2808.712,626.559,1042,62.037,2
7960.703,2011.515,902.367,1865.523,390.721,962,61.942,2
6757.709,1658.975,821.893,1538.417,306.989,882,61.747,2
7791.089,1646.44,749.944,1465.63,297.632,962,61.713,2
7166.643,1866.122,806.792,1260.589,292.813,1061,61.73,2
7862.183,2180.635,1456.822,3433.54,741.811,1061,61.747,2
7138.177,1732.8,974.512,2378.827,512.808,922,61.73,2
8532.082,1475.425,622.684,1014.638,240.947,941,61.73,2
8427.661,1887.554,960.148,1417.81,357.689,962,61.68,2
7671.27,2184.991,807.726,1110.839,242.651,882,61.78,2
10890.119,2619.654,1661.81,3947.257,961.528,1061,61.78,2
8541.714,1965.804,1657.029,3995.951,1039.772,1102,61.959,2
7969.271,1851.833,1100.01,2058.541,484.832,1042,62.053,2
8940.78,1544.552,1159.09,2925.332,653.589,821,62.137,2
10849.955,1974.45,866.006,1684.691,368.185,901,62.137,2
11289.189,2097.658,817.383,1082.773,233.112,981,62.071,2
11025.079,1958.288,936.689,1265.394,311.938,941,62.12,2
9396.858,2038.545,1329.959,3358.111,818.667,941,62.187,2
5808.988,1831.259,838.25,2454.166,510.73,982,62.187,2
10103.672,2788.878,1625.951,5220.717,1028.444,822,62.269,2
5432.867,2672.052,1864.47,5040.909,1155.936,981,62.237,2
7275.55,2326.704,757.336,1529.536,367.854,761,62.269,2
10355.687,2393.185,1072.46,1744.102,419.363,802,62.32,2
7603.027,2709.557,2027.922,5619.887,1319.169,821,62.303,2
8413.435,1737.95,1124.358,2620.169,636.962,882,62.17,2
7484.065,1628.705,790.231,1498.38,402.124,941,62.07,2
8265.709,1736.613,751.102,910.389,242.756,822,62.021,2
8742.827,2505.866,1731.429,5131.267,1232.621,921,62.004,2
10214.067,1909.003,938.839,1796.006,403.319,801,62.021,2
7463.049,2096.72,1016.265,1693.337,337.251,822,62.006,2
6754.589,2695.517,2131.892,5659.689,1183.019,922,62.021,2
7237.929,1573.348,846.05,1392.982,299.103,941,62.038,2
7549.771,2465.199,1619.619,4679.045,1124.173,861,62.006,2
8222.657,1622.59,659.537,1221.383,277.599,902,61.958,2
6729.316,1723.524,694.765,1181.038,207.811,881,61.91,2
7993.787,1773.033,794.331,1050.612,211.287,961,61.879,2
7118.599,1979.238,1125.504,1699.171,387.607,941,61.91,2
7286.387,1831.428,813.303,1052.218,253.028,941,61.896,2
10077.137,2108.222,960.696,1256.339,280.517,861,61.862,2
10276.91,2437.851,1398.38,3526.895,850.029,960,61.879,2
6558.498,2239.262,1405.548,3378.062,908.791,862,61.896,2
7793.233,1397.329,535.51,799.034,226.782,861,61.911,2
11267.868,2344.746,1929.925,6077.966,1267.689,782,61.942,2
8710.956,2067.598,1272.329,3006.435,706.551,821,61.927,2
7246.085,1902.624,857.995,2361.204,578.784,822,61.942,2
7545.762,1754.075,852.932,1801.055,423.164,901,61.989,2
9258.717,2592.494,1338.696,2788.259,735.466,902,61.894,2
6788.663,1853.755,968.207,1733.709,383.733,841,61.942,2
6765.248,2567.842,2070.091,5195.065,1257.983,842,61.941,2
8738.738,2117.181,1341.131,2829.775,624.709,862,61.958,2
7627.79,1690.143,999.502,2260.203,504.975,881,61.926,2
8476.029,1920.428,841.413,1484.206,308.417,1121,61.926,2
11104.715,1801.488,852.183,1429.998,306.191,881,62.022,2
9411.33,1754.377,901.593,1406.058,322.271,720,62.058,2
6931.883,1920.307,721.1,1082.002,265.764,901,61.974,2
7952.976,2590.17,1728.504,4937.511,1089.033,921,61.942,2
10305.511,2501.702,1313.804,2727.716,470.615,901,61.942,2
7220.287,1942.457,1041.231,1601.053,343.835,871.5,61.86,2
9159.573,2436.51,1230.073,2688.204,593.769,861,61.893,2
8797.264,1792.579,1133.094,2226.94,489.926,841,62.04,2
6703.511,2255.065,1275.272,2263.743,450.319,872,62.058,2
7128.828,2629.557,1074.656,1879.437,410.078,941,61.941,2
7345.849,2944.989,1888.346,6315.957,1373.853,1011,61.957,2
7433.677,2381.917,1456.863,3888.517,924.792,1051,61.908,2
7015.812,2119.375,1433.446,3225.381,623.699,981.5,61.846,2
9408.11,1854.358,715.382,1172.979,269.545,951.5,61.959,2
8971.72,1834.117,903.148,1362.14,333.331,1031,61.746,2
8095.067,1587.541,879.748,1474.681,282.726,961,61.829,2
9176.709,2026.616,1110.202,2409.404,473.958,1071,61.91,2
7481.81,2446.812,2038.457,5114.676,1309.835,1031,62.203,2
