Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
11993.984,2007.994,1176.313,2372.533,558.873,711.5,722.75,46.447,40.32,40.279,0.092,0
20442.875,2049.951,977.836,1683.032,383.499,701.5,706,30.962,40.32,40.308,0.101,0
13222.833,1902.104,756.095,1230.419,251.933,711,706.25,29.544,40.25,40.265,0.095,0
10834.634,2012.851,693.362,1063.101,254.068,681.5,704.417,38.237,40.32,40.322,0.092,0
31469.69,2429.757,949.778,1735.326,430.745,681,686,37.399,40.32,40.335,0.045,0
6323.398,1596.932,692.372,1192.815,289.816,710.5,712.917,32.382,40.32,40.351,0.088,0
7191.587,2272.214,882.79,1556.813,392.882,801,849.2,93.236,62.17,62.215,0.069,1
5835.637,1587.915,665.748,1307.014,257.542,1020,993,104.194,62.17,62.155,0.045,1
6019.844,2774.115,843.34,1532.31,333.941,922,969.4,76.904,62.17,62.11,0.073,1
5539.57,1509.265,616.657,1318.664,250.473,941,953.2,39.235,62.17,62.2,0.09,1
6421.807,1840.989,777.407,1664.206,339.173,941,933,68.355,62.17,62.17,0.067,1
6332.354,1771.252,743.926,1393.379,329.588,920,957.2,90.918,62.245,62.245,0.075,1
6730.525,1939.282,1049.469,2315.782,547.819,982,985.4,69.893,62.17,62.185,0.045,1
7736.935,1961.814,1444.576,2614.693,636.774,922,945.2,46.201,62.17,62.215,0.069,1
6554.817,1773.218,733.571,1211.003,294.955,882,881,49.566,62.245,62.215,0.117,1
6788.451,1572.495,853.574,1382.343,289.101,1001,981.2,80.797,62.17,62.215,0.096,1
10043.317,2288.412,1249.191,2899.692,584.918,980,953.2,65.021,62.17,62.2,0.112,1
8383.176,2236.909,1010.963,1373.772,322.446,941,953.2,63.713,62.17,62.155,0.081,1
6409.905,2295.215,772.879,1129.516,273.18,922,925.2,48.321,62.17,62.17,0.067,1
7355.729,1723.383,1130.479,1863.844,348.885,942,945.2,76.987,62.17,62.17,0.067,1
10753.815,2088.728,1026.167,1381.569,317.305,881,925.4,110.73,62.17,62.23,0.073,1
7960.077,2008.851,1076.706,3660.35,875.836,861,844.8,93.604,62.17,62.215,0.096,1
7163.355,2114.318,1115.693,2758.62,665.586,881,929.4,111.148,62.17,62.215,0.096,1
7852.895,2256.471,954.6,2086.503,390.713,881,893.2,48.201,62.32,62.26,0.073,1
5466.329,1664.076,773.922,1406.543,272.583,922,925.4,71.982,62.17,62.215,0.069,1
6655.344,1680.472,818.582,1251.462,285.546,981,969.2,51.817,62.17,62.23,0.073,1
8069.996,2562.645,1723.374,4142.85,904.236,941,925.4,34.714,62.095,62.095,0.075,1
10199.153,1923.568,833.011,1844.845,369.654,1002,1033.2,47.789,62.02,62.051,0.088,1
8333.006,2366.457,1183.443,2409.806,488.729,1001,997.4,62.637,62.02,62.006,0.042,1
9480.572,1909.971,1116.989,2017.411,425.207,1021,1001.2,41.571,61.95,61.95,0.07,1
5989.819,1989.249,981.187,2142.574,494.146,922,925.2,51.211,61.88,61.922,0.064,1
7196.796,1734.911,959.322,1453.115,399.772,1002,1009.4,77.575,61.88,61.921,0.092,1
6631.842,1278.976,685.99,1155.038,288.367,921,933.2,90.309,62.02,61.979,0.092,1
6678.285,1968.792,1026.164,1627.157,354.124,962,949.2,86.377,61.88,61.936,0.069,1
7741.693,2165.552,890.414,2580.922,564.191,901,893.4,116.51,62.02,62.007,0.077,1
6650.245,1264.171,659.606,1476.519,323.459,861,865,93.295,61.88,61.908,0.056,1
7962.312,2488.556,955.114,1665.791,419.924,882,885.4,123.341,61.88,61.922,0.064,1
6314.148,1613.362,1136.566,2119.4,560.102,1020,1028.8,154.906,62.02,61.964,0.069,1
7064.449,1309.838,644.13,1365.667,328.381,1161,1073.4,189.881,62.02,61.964,0.069,1
11628.231,1955.411,706.255,1413.484,275.791,1102,1113.6,103.392,61.88,61.922,0.064,1
8430.83,2052.274,1340.503,4764.571,1148.424,1061,1049.2,59.911,62.02,61.978,0.064,1
6033.026,2133.153,1711.637,4443.807,1018.316,1061,1013.4,126.738,62.02,61.978,0.064,1
10180.32,2652.601,1449.859,3169.863,742.36,882,957.4,241.668,61.88,61.922,0.064,1
7703.45,2954.392,1085.99,3067.992,667.361,1001,1029.2,119.185,62.02,61.979,0.092,1
8468.287,2304.01,1849.741,4794.192,1267.177,1042,993.4,164.944,62.02,62.007,0.077,1
7874.938,1611.609,805.923,1652.203,396.048,1040,1045.2,128.09,62.02,61.994,0.108,1
8048.284,1399.938,731.448,1081.164,240.04,1040,1017.4,127.89,62.02,62.006,0.042,1
7586.89,1953.372,703.546,1468.12,297.291,1120,1073.2,143.345,62.02,62.02,0,1
10649.517,2301.515,982.66,1377.996,323.593,841,821,42.052,62.02,62.051,0.088,1
8865.14,2252.699,1060.799,2939.744,639.926,880,841.4,50.603,62.02,62.007,0.077,1
8411.6,1710.124,605.748,1185.181,264.597,861,869,81.978,62.02,62.08,0.073,1
6872.147,1521.972,548.069,991.744,273.317,902,877.6,52.66,62.02,62.035,0.045,1
6035.028,1877.285,1168.221,2713.531,536.254,941,909,61.449,62.02,62.05,0.06,1
7591.651,2680.719,1693.484,3601.325,811.199,961,985.4,73.137,62.02,62.035,0.045,1
6827.659,1859.165,973.511,2237.6,591.242,802,893.4,198.229,62.095,62.095,0.075,1
12603.46,2281.96,1425.763,3609.984,922.062,981,917,142.831,62.02,62.051,0.088,1
9566.388,2079.612,1089.348,1941.121,405.9,861,857.2,103.006,62.02,62.05,0.06,1
7499.961,2441.098,1254.274,3541.976,834.869,941,957.2,92.142,62.02,62.051,0.088,1
7201.487,2442.077,1750.125,4790.397,969.511,960,917,57.135,62.02,62.08,0.073,1
6681.122,1930.736,896.421,1580.316,358.377,961,965.2,114.397,62.17,62.125,0.096,1
7930.684,1670.937,767.768,1421.355,296.237,901,893.2,77.533,62.17,62.17,0.095,1
10369.097,2009.127,1251.803,2300.152,450.779,961,973.2,46.598,61.14,61.186,0.956,1
10682.348,2685.415,2080.238,5581.915,1384.579,942,945.2,88.221,60.26,60.26,0,1
6099.497,2054.518,1403.256,4006.41,831.794,1042,1025,228.351,60.26,60.218,0.064,1
9025.859,2796.15,1444.578,3941.284,1039.013,1061,1061.4,76.842,60.26,60.246,0.042,1
5337.116,1881.08,779.42,1462.408,355.677,981,1029,84.43,60.26,60.204,0.069,1
8593.866,2335.089,1165.263,2621.031,571.148,1060,1065,44.1,60.19,60.19,0.07,1
10133.371,1652.059,1171.388,2101.22,455.017,861,921.2,120.864,60.19,60.19,0.07,1
7005.229,1722.434,1098.773,2740.246,586.777,921,893.4,166.681,60.26,60.218,0.064,1
6822.195,1719.794,746.256,1291.182,290.165,841,909.4,168.552,60.26,60.232,0.056,1
8695.396,1941.776,887.666,1471.206,289.86,1102,1105.6,95.307,60.26,60.218,0.064,1
11938.381,2844.379,1737.474,4564.488,941.4,941,937.6,151.068,60.12,60.176,0.069,1
6432.881,2055.167,1489.733,3875.223,856.295,1001,1005.4,136.312,60.12,60.162,0.064,1
8176.843,2288.996,1752.925,4136.298,1054.124,902,929.2,96.485,60.19,60.19,0.07,1
7201.634,2575.471,1421.303,3266.226,844.621,1121,1097.4,191.468,60.19,60.19,0.07,1
6621.638,1931.074,665.31,965.086,211.099,822,877.2,120.076,60.19,60.19,0.07,1
7005.1,2631.646,930.929,2554.484,545.422,1121,1001.6,194.402,60.26,60.232,0.056,1
8485.599,1896.589,813.496,1535.643,378.834,962,985.4,167.228,60.26,60.218,0.064,1
6624.469,1388.58,769.553,1747.665,339.933,1201,1177.4,102.193,60.26,60.232,0.056,1
9349.649,1501.51,659.499,976.617,198.641,841,885,196.694,60.26,60.26,0,1
9527.072,2580.076,1036.849,2581.271,581.419,961,993.2,107.645,60.26,60.261,0.065,1
8636.252,2176.913,1015.6,1982.954,395.963,1021,1037.2,120.937,60.26,60.261,0.065,1
10926.251,1898.52,1088.357,1971.171,375.851,1002,985.2,192.912,60.26,60.26,0,1
8939.296,1830.017,544.552,1033.781,235.923,861,881.4,70.882,60.26,60.305,0.069,1
7594.898,1825.734,962.904,2778.443,646.498,962,969.2,172.55,60.26,60.32,0.073,1
7122.927,2198.605,1455.984,3599.241,880.4,761,873.2,184.27,60.41,60.365,0.069,1
7208.281,2681.397,1672.487,4839.393,880.488,841,869.2,68.036,60.41,60.38,0.06,1
5574.944,1660.535,840.774,2031.163,432.275,1001,1009.4,54.57,60.41,60.41,0.067,1
6394.518,1314.646,600.995,962.425,233.346,1001,977.2,38.597,60.41,60.44,0.06,1
10451.374,2262.264,984.929,1836.377,433.706,961,953.4,159.018,60.41,60.395,0.081,1
8083.209,1820.236,590.563,795.434,167.682,981,1001.2,139.514,60.41,60.425,0.045,1
6456.629,1415.212,517.758,631.712,133.516,942,953.6,129.776,60.41,60.425,0.045,1
6760.202,1450.851,949.817,2405.836,516.818,981,1005,155.642,60.41,60.395,0.045,1
8656.893,1592.782,617.246,1377.857,327.113,781,889.2,185.658,60.41,60.425,0.045,1
6640.306,1716.026,1259.407,2533.558,580.959,1081,1073.4,65.35,60.41,60.41,0,1
6738.32,2419.808,1043.458,2560.024,571.466,882,901,80.503,60.41,60.425,0.045,1
8231.241,2583.829,1960.743,5785.276,1257.471,1062,1077.6,97.719,60.41,60.41,0.067,1
8342.03,1900.846,792.281,1482.475,317.703,941,901,74.833,60.41,60.35,0.073,1
10514.168,1872.997,1221.097,2652.769,591.418,722,789.8,146.354,60.335,60.335,0.075,1
6951.94,1514.696,569.759,1005.62,235.111,862,865.6,105.392,60.26,60.32,0.073,1
6947.768,1380.498,601.882,743.81,169.691,1001,981,110.995,60.41,60.365,0.069,1
5926.812,2698.741,2025.381,4937.449,1316.612,722,861.6,195.449,60.26,60.29,0.06,1
7392.724,1884.382,837.367,2251.904,466.31,861,917.2,181.511,60.26,60.275,0.045,1
8795.074,2118.293,948.066,1898.8,405.225,881,929,188.426,60.26,60.26,0,1
7261.982,2615,1403.151,2742.699,496.975,821,913.4,197.44,60.26,60.29,0.06,1
7873.239,2779.381,1975.57,3737.097,712.827,881,829.4,98.03,60.26,60.275,0.045,1
7947.473,1965.582,1072.054,2844.813,618.279,882,953.4,157.552,60.26,60.276,0.079,1
6092.561,1336.042,645.257,1162.484,268.296,1002,989.4,127.915,60.26,60.276,0.079,1
9607.62,2152.719,1186.678,3236.989,711.85,882,877.4,133.669,60.26,60.233,0.086,1
7062.134,2336.944,1612.238,4620.555,1107.291,821,845.4,136.254,60.26,60.232,0.056,1
7354.634,2122.309,1347.143,2523.745,522.107,982,945.6,141.15,60.26,60.26,0,1
8903.911,1695.321,1361.586,3827.32,849.624,901,925,58.723,60.26,60.29,0.06,1
8350.092,2998.754,1911.88,4539.353,1001.038,841,825.4,83.265,60.26,60.29,0.06,1
5798.196,1986.848,1185.093,3092.502,622.341,901,985.2,184.605,60.26,60.276,0.079,1
8154.54,1786.575,1077.807,2362.742,525.345,801,821.4,82.561,60.26,60.29,0.06,1
7653.91,1980.806,1050.192,2385.352,515.532,742,733.2,27.636,60.335,60.335,0.075,1
7295.87,2428.734,928.736,3083.345,577.017,760,793,118.425,60.335,60.335,0.075,1
7191.859,1835.561,742.867,1608.213,397.929,882,909.4,157.588,61.44,61.38,0.073,1
11472.77,2334.553,1349.125,3613.034,783.026,1041,1009,191.249,61.29,61.32,0.06,1
9623.711,2383.062,1773.722,5127.34,1164.683,921,898,142.015,61.44,61.409,0.088,1
7182.376,1783.394,857.922,1580.151,383.948,862,853.2,101.685,61.44,61.394,0.094,1
10906.655,1847.893,1247.108,3611.107,769.282,981,929,128.469,61.44,61.425,0.045,1
12857.833,2233.514,1103.23,2779.319,626.094,901,897.4,31.929,61.44,61.409,0.088,1
7502.746,2301.023,995.615,2470.218,544.902,840,849,46.656,61.44,61.425,0.045,1
8359.005,1749.602,748.658,1313.098,326.842,801,809,48.419,61.44,61.454,0.042,1
11250.446,2868.193,1929.465,5241.462,1406.06,981,929.2,64.164,61.44,61.425,0.045,1
6764.854,1979.42,1525.794,5098.306,1180.94,882,861.2,50.677,61.44,61.439,0.065,1
7606.066,2392.449,1415.605,4186.354,894.496,941,909,51.85,61.44,61.439,0.065,1
9141.654,2487.753,1278.466,2477.658,506.541,1021,1021.4,66.093,61.58,61.553,0.086,1
8222.838,1965.844,923.119,1947.835,398.959,961,933.2,107.31,61.58,61.64,0.073,1
5563.522,1577.574,576.038,955.647,215.67,842,833.2,48.367,61.73,61.715,0.105,1
9953.878,2521.469,1207.71,3789.423,874.3,922,909.2,100.306,61.73,61.745,0.081,1
11591.148,1948.911,1261.199,3119.611,774.92,941,941,48.99,61.88,61.85,0.06,1
9466.269,1869.219,1049.715,2204.263,514.428,941,933.2,41.126,61.88,61.834,0.094,1
7629.316,2003.025,965.982,2349.573,511.65,1002,1029,117.237,61.88,61.85,0.06,1
6621.009,2404.772,1536.734,4776.338,1219.993,982,1009.2,100.744,61.88,61.908,0.056,1
11756.94,2878.486,1788.767,3830.676,910.189,942,933.4,85.549,62.02,61.964,0.069,1
8871.055,1658.363,921.107,2150.794,395.978,941,957.2,187.131,62.02,62.021,0.065,1
9381.426,2035.245,873.077,1515.37,328.477,921,961.2,121.394,62.02,61.978,0.064,1
7775.22,1625.334,688.265,789.289,173.801,942,985.4,159.44,62.02,62.08,0.073,1
8354.363,1778.72,1242.014,2579.969,503.02,920,893.2,111.336,62.17,62.187,0.085,1
8214.03,1817.237,1046.565,1749.687,394.691,781,849.4,219.203,62.17,62.203,0.062,1
12385.043,1978.061,1042.895,1629.978,348.74,921,969.4,100.528,62.02,62.071,0.098,1
11937.336,1700.544,1267.633,1734.478,332.751,941,981.2,164.317,62.17,62.203,0.118,1
8831.109,1812.1,1089.885,1692.554,372.581,762,793.2,57.301,62.32,62.253,0.075,1
9690.238,1680.026,970.523,1481.394,317.187,722,741.2,45.521,62.32,62.32,0,1
7846.755,2402.615,1440.813,3243.659,704.347,762,797,64.872,62.32,62.269,0.098,1
6946.749,2268.087,810.332,1481.153,329.483,842,877.2,74.093,62.17,62.203,0.062,1
8782.026,2804.33,1820.477,5975.679,1393.606,981,953.2,34.574,62.17,62.153,0.047,1
7705.655,2589.493,1836.915,5273.136,1136.483,960,973.2,111.408,62.17,62.153,0.047,1
7155.207,2079.599,945.904,2780.164,562.099,961,941,171.559,62.17,62.12,0.1,1
9044.341,2260.518,890.429,2047.59,430.66,901,901,115.553,62.02,62.087,0.075,1
8213.53,1553.398,651.381,1319.524,302.842,882,921,124.55,62.17,62.103,0.075,1
6844.879,1323.05,483.414,821.006,199.989,1022,965.2,99.23,62.17,62.187,0.047,1
10154.276,2221.858,987.827,1751.673,331.967,981,981.2,52.232,62.17,62.103,0.075,1
9512.821,1967.252,1552.563,3997.595,1132.81,962,985.4,68.855,62.17,62.187,0.047,1
8082.795,1964.439,1703.744,5575.718,1231.918,921,929.2,60.241,62.17,62.137,0.094,1
8703.515,1818.269,1250.481,2808.712,626.559,1042,1025.4,49.609,62.02,62.037,0.047,1
7960.703,2011.515,902.367,1865.523,390.721,962,977.2,83.344,61.88,61.942,0.07,1
6757.709,1658.975,821.893,1538.417,306.989,882,885.2,40.385,61.73,61.747,0.047,1
7791.089,1646.44,749.944,1465.63,297.632,962,957.4,135.068,61.73,61.713,0.085,1
7166.643,1866.122,806.792,1260.589,292.813,1061,1041.2,56.499,61.73,61.73,0,1
7862.183,2180.635,1456.822,3433.54,741.811,1061,1041.4,45.169,61.73,61.747,0.047,1
7138.177,1732.8,974.512,2378.827,512.808,922,929.2,100.065,61.73,61.73,0,1
8532.082,1475.425,622.684,1014.638,240.947,941,909.6,136.816,61.73,61.73,0.071,1
8427.661,1887.554,960.148,1417.81,357.689,962,953,37.64,61.73,61.68,0.071,1
7671.27,2184.991,807.726,1110.839,242.651,882,885.4,87.344,61.73,61.78,0.1,1
10890.119,2619.654,1661.81,3947.257,961.528,1061,1061.4,96.421,61.73,61.78,0.071,1
8541.714,1965.804,1657.029,3995.951,1039.772,1102,1109.4,72.124,61.88,61.959,0.098,1
7969.271,1851.833,1100.01,2058.541,484.832,1042,1041.4,130.6,62.02,62.053,0.062,1
8940.78,1544.552,1159.09,2925.332,653.589,821,837.2,130.177,62.17,62.137,0.062,1
10849.955,1974.45,866.006,1684.691,368.185,901,909.2,92.547,62.17,62.137,0.062,1
11289.189,2097.658,817.383,1082.773,233.112,981,949.6,55.701,62.02,62.071,0.098,1
11025.079,1958.288,936.689,1265.394,311.938,941,921.2,102.451,62.17,62.12,0.071,1
9396.858,2038.545,1329.959,3358.111,818.667,941,1005.2,113.272,62.17,62.187,0.047,1
5808.988,1831.259,838.25,2454.166,510.73,982,973.8,65.521,62.17,62.187,0.085,1
10103.672,2788.878,1625.951,5220.717,1028.444,822,817,23.503,62.32,62.269,0.098,1
5432.867,2672.052,1864.47,5040.909,1155.936,981,1001.4,202.84,62.17,62.237,0.075,1
7275.55,2326.704,757.336,1529.536,367.854,761,785,42.708,62.32,62.269,0.098,1
10355.687,2393.185,1072.46,1744.102,419.363,802,793,29.806,62.32,62.32,0,1
7603.027,2709.557,2027.922,5619.887,1319.169,821,825,32.006,62.32,62.303,0.047,1
8413.435,1737.95,1124.358,2620.169,636.962,882,861.2,51.152,62.17,62.17,0.1,1
7484.065,1628.705,790.231,1498.38,402.124,941,917.4,39.444,62.02,62.07,0.071,1
8265.709,1736.613,751.102,910.389,242.756,822,845,73.051,62.02,62.021,0.068,1
8742.827,2505.866,1731.429,5131.267,1232.621,921,881.2,117.271,62.02,62.004,0.044,1
10214.067,1909.003,938.839,1796.006,403.319,801,821,55.136,62.02,62.021,0.068,1
7463.049,2096.72,1016.265,1693.337,337.251,822,813,29.806,62.02,62.006,0.082,1
6754.589,2695.517,2131.892,5659.689,1183.019,922,905.2,55.772,62.02,62.021,0.068,1
7237.929,1573.348,846.05,1392.982,299.103,941,909,89.4,62.02,62.038,0.083,1
7549.771,2465.199,1619.619,4679.045,1124.173,861,861.2,52.465,62.02,62.006,0.082,1
8222.657,1622.59,659.537,1221.383,277.599,902,933.4,48.57,62.02,61.958,0.07,1
6729.316,1723.524,694.765,1181.038,207.811,881,869.2,54.231,61.88,61.91,0.09,1
7993.787,1773.033,794.331,1050.612,211.287,961,989.2,98.777,61.88,61.879,0.068,1
7118.599,1979.238,1125.504,1699.171,387.607,941,937.4,37.033,61.88,61.91,0.09,1
7286.387,1831.428,813.303,1052.218,253.028,941,917.2,63.701,61.88,61.896,0.044,1
10077.137,2108.222,960.696,1256.339,280.517,861,909.2,103.019,61.88,61.862,0.083,1
10276.91,2437.851,1398.38,3526.895,850.029,960,901.4,101.236,61.88,61.879,0.068,1
6558.498,2239.262,1405.548,3378.062,908.791,862,877.6,63.726,61.88,61.896,0.044,1
7793.233,1397.329,535.51,799.034,226.782,861,849,81.243,61.88,61.911,0.058,1
11267.868,2344.746,1929.925,6077.966,1267.689,782,801.4,63.057,61.88,61.942,0.07,1
8710.956,2067.598,1272.329,3006.435,706.551,821,877.2,150.179,61.88,61.927,0.066,1
7246.085,1902.624,857.995,2361.204,578.784,822,825.4,67.447,61.88,61.942,0.07,1
7545.762,1754.075,852.932,1801.055,423.164,901,949.2,171.527,62.02,61.989,0.058,1
9258.717,2592.494,1338.696,2788.259,735.466,902,973.2,108.385,61.88,61.894,0.082,1
6788.663,1853.755,968.207,1733.709,383.733,841,889.6,86.203,61.88,61.942,0.07,1
6765.248,2567.842,2070.091,5195.065,1257.983,842,861.2,68.881,62.02,61.941,0.098,1
8738.738,2117.181,1341.131,2829.775,624.709,862,861.4,97.202,62.02,61.958,0.07,1
7627.79,1690.143,999.502,2260.203,504.975,881,909,64.377,61.88,61.926,0.137,1
8476.029,1920.428,841.413,1484.206,308.417,1121,1129.2,127.426,61.88,61.926,0.096,1
11104.715,1801.488,852.183,1429.998,306.191,881,849.4,109.26,62.02,62.022,0.138,1
9411.33,1754.377,901.593,1406.058,322.271,720,833,158.746,62.02,62.058,0.18,1
6931.883,1920.307,721.1,1082.002,265.764,901,885.2,73.202,62.02,61.974,0.096,1
7952.976,2590.17,1728.504,4937.511,1089.033,921,909.4,34.783,61.88,61.942,0.07,1
10305.511,2501.702,1313.804,2727.716,470.615,901,865.2,54.466,61.88,61.942,0.12,1
7220.287,1942.457,1041.231,1601.053,343.835,871.5,861,54.41,61.88,61.86,0.145,1
9159.573,2436.51,1230.073,2688.204,593.769,861,861.25,62.93,61.88,61.893,0.107,1
8797.264,1792.579,1133.094,2226.94,489.926,841,841.25,86.372,62.02,62.04,0.145,1
6703.511,2255.065,1275.272,2263.743,450.319,872,866.25,61.018,62.02,62.058,0.18,1
7128.828,2629.557,1074.656,1879.437,410.078,941,921.5,61.65,62.02,61.941,0.17,1
7345.849,2944.989,1888.346,6315.957,1373.853,1011,1006.25,29.38,62.02,61.957,0.098,1
7433.677,2381.917,1456.863,3888.517,924.792,1051,1041.5,50.801,62.02,61.908,0.133,1
7015.812,2119.375,1433.446,3225.381,623.699,981.5,981.5,88.996,61.88,61.846,0.135,1
9408.11,1854.358,715.382,1172.979,269.545,951.5,916.25,128.288,61.88,61.959,0.139,1
8971.72,1834.117,903.148,1362.14,333.331,1031,971.5,109.728,61.73,61.746,0.129,1
8095.067,1587.541,879.748,1474.681,282.726,961,951,114.455,61.88,61.829,0.121,1
9176.709,2026.616,1110.202,2409.404,473.958,1071,1056.25,170.844,61.88,61.91,0.636,1
7481.81,2446.812,2038.457,5114.676,1309.835,1031,1061.25,83.428,62.61,62.203,0.699,1
